Phoneme1	Phoneme2	Difference	Max/Dep	BeIdentical	Sonority	Continuant	Place	Backness	Stridency	Rounding	Voicing	Nasality	Lateral	Tense	Tone	Syllabic
ch	t	 4.22	 0	 1	 0	 0	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0
ch	i	 20.1	 0	 1	 5	 0	 0	 1	 1	 0	 1	 0	 0	 0	 0	 1
ch	m	 7.09	 0	 1	 1	 0	 1	 0	 1	 0	 1	 1	 0	 0	 0	 0
ch	s	 2.75	 0	 1	 0	 1	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0
ch	^	 20.46	 0	 1	 6	 0	 0	 1	 1	 0	 1	 0	 0	 0	 0	 1
ch	b	 5.45	 0	 1	 0	 0	 1	 0	 1	 0	 1	 0	 0	 0	 0	 0
ch	o	 20.46	 0	 1	 6	 0	 0	 1	 1	 0	 1	 0	 0	 0	 0	 1
ch	n	 7.09	 0	 1	 1	 0	 1	 0	 1	 0	 1	 1	 0	 0	 0	 0
ch	p	 4.22	 0	 1	 0	 0	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0
ch	e	 20.46	 0	 1	 6	 0	 0	 1	 1	 0	 1	 0	 0	 0	 0	 1
ch	a	 20.82	 0	 1	 7	 0	 0	 1	 1	 0	 1	 0	 0	 0	 0	 1
ch	k	 4.22	 0	 1	 0	 0	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0
ch	r	 6.84	 0	 1	 3	 1	 1	 0	 1	 0	 1	 0	 0	 0	 0	 0
ch	d	 5.45	 0	 1	 0	 0	 1	 0	 1	 0	 1	 0	 0	 0	 0	 0
ch	g	 5.45	 0	 1	 0	 0	 1	 0	 1	 0	 1	 0	 0	 0	 0	 0
ch	f	 4.53	 0	 1	 0	 1	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0
ch	ng	 7.09	 0	 1	 1	 0	 1	 0	 1	 0	 1	 1	 0	 0	 0	 0
ch	O	 20.46	 0	 1	 6	 0	 0	 1	 1	 0	 1	 0	 0	 0	 0	 1
ch	z	 3.98	 0	 1	 0	 1	 1	 0	 0	 0	 1	 0	 0	 0	 0	 0
ch	ly	 7.1	 0	 1	 2	 1	 1	 0	 1	 0	 1	 0	 1	 0	 0	 0
ch	ch	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ch	dzh	 3.4	 0	 1	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0
ch	zh	 3.71	 0	 1	 0	 1	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0
ch	sh	 2.48	 0	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
dzh	GAP	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
dzh	u	 18.87	 0	 1	 5	 0	 0	 1	 1	 0	 0	 0	 0	 0	 0	 1
dzh	l	 5.87	 0	 1	 2	 1	 1	 0	 1	 0	 0	 0	 1	 0	 0	 0
dzh	t	 5.45	 0	 1	 0	 0	 1	 0	 1	 0	 1	 0	 0	 0	 0	 0
dzh	i	 18.87	 0	 1	 5	 0	 0	 1	 1	 0	 0	 0	 0	 0	 0	 1
